Validator,PT_VERSION,2.6.0
Validator,ROCM_VERSION,6.3.1.0-40-ce2be3b
Validator,HIPBLASLT_VERSION,1000-b4e5042b
Validator,GCN_ARCH_NAME,gfx1100
Validator,ROCBLAS_VERSION,4.3.0-8ebd6c11
GemmTunableOp_Half_TN,tn_4096_451_13696,Gemm_Rocblas_1140853557,0.703412
GemmTunableOp_Half_TN,tn_27392_451_4096,Gemm_Rocblas_1140853564,1.57685
GemmTunableOp_Half_TN,tn_4096_451_4096,Gemm_Rocblas_1140853587,0.220401
GemmTunableOp_Half_TN,tn_27392_614_4096,Default,2.13104
GemmTunableOp_Half_TN,tn_4096_374_13696,Gemm_Rocblas_1140853550,0.518795
GemmTunableOp_Half_TN,tn_4096_374_4096,Gemm_Rocblas_1140853557,0.151873
GemmTunableOp_Half_TN,tn_4096_373_4096,Gemm_Rocblas_1140853557,0.154817
GemmTunableOp_Half_TN,tn_4096_319_13696,Gemm_Rocblas_1140853580,0.505099
GemmTunableOp_Half_TN,tn_4096_319_4096,Gemm_Rocblas_1140853587,0.145649
GemmTunableOp_Half_TN,tn_4096_511_4096,Gemm_Rocblas_1140853587,0.232097
GemmTunableOp_Half_TN,tn_4096_512_13696,Gemm_Rocblas_1140853578,0.718076
GemmTunableOp_Half_TN,tn_4096_512_4096,Gemm_Rocblas_1140853557,0.228457
GemmTunableOp_Half_TN,tn_4096_294_13696,Gemm_Rocblas_1140853550,0.507347
GemmTunableOp_Half_TN,tn_27392_524_4096,Default,1.75238
GemmTunableOp_Half_TN,tn_4096_582_13696,Gemm_Rocblas_1140853545,0.843741
GemmTunableOp_Half_TN,tn_27392_582_4096,Default,2.10575
GemmTunableOp_Half_TN,tn_4096_428_13696,Gemm_Rocblas_1140853557,0.694724
GemmTunableOp_Half_TN,tn_4096_477_13696,Gemm_Rocblas_1140853557,0.702916
GemmTunableOp_Half_TN,tn_27392_477_4096,Default,1.60524
GemmTunableOp_Half_TN,tn_4096_433_13696,Gemm_Rocblas_1140853557,0.695956
GemmTunableOp_Half_TN,tn_27392_433_4096,Gemm_Rocblas_1140853649,1.47254
GemmTunableOp_Half_TN,tn_4096_531_4096,Gemm_Rocblas_1140853630,0.28693
GemmTunableOp_Half_TN,tn_4096_495_13696,Gemm_Rocblas_1140853557,0.719236
GemmTunableOp_Half_TN,tn_4096_455_13696,Gemm_Rocblas_1140853557,0.707636
GemmTunableOp_Half_TN,tn_27392_455_4096,Default,1.58683
GemmTunableOp_Half_TN,tn_27392_435_4096,Gemm_Rocblas_1140853649,1.48583
GemmTunableOp_Half_TN,tn_151552_20_4096,Gemm_Rocblas_1140853614,1.79621
GemmTunableOp_Half_TN,tn_4096_454_13696,Gemm_Rocblas_1140853557,0.703836
GemmTunableOp_Half_TN,tn_4096_435_4096,Gemm_Rocblas_1140853645,0.210049
GemmTunableOp_Half_TN,tn_27392_342_4096,Default,1.13723
GemmTunableOp_Half_TN,tn_4096_342_4096,Gemm_Rocblas_1140853557,0.149593
GemmTunableOp_Half_TN,tn_4096_534_13696,Gemm_Rocblas_1140853545,0.847213
GemmTunableOp_Half_TN,tn_27392_534_4096,Default,1.76009
GemmTunableOp_Half_TN,tn_4096_492_4096,Gemm_Rocblas_1140853578,0.242649
GemmTunableOp_Half_TN,tn_4096_536_13696,Gemm_Rocblas_1140853545,0.852141
GemmTunableOp_Half_TN,tn_27392_536_4096,Default,1.80185
GemmTunableOp_Half_TN,tn_4096_536_4096,Gemm_Rocblas_1140853628,0.286402
GemmTunableOp_Half_TN,tn_4096_525_13696,Gemm_Rocblas_1140853545,0.847541
GemmTunableOp_Half_TN,tn_27392_481_4096,Gemm_Rocblas_1140853649,1.66267
GemmTunableOp_Half_TN,tn_4096_481_4096,Gemm_Rocblas_1140853579,0.230113
GemmTunableOp_Half_TN,tn_4096_401_4096,Gemm_Rocblas_1140853645,0.203673
GemmTunableOp_Half_TN,tn_4096_490_13696,Gemm_Rocblas_1140853578,0.719437
GemmTunableOp_Half_TN,tn_27392_490_4096,Gemm_Rocblas_1140853619,1.75404
GemmTunableOp_Half_TN,tn_4096_490_4096,Gemm_Rocblas_1140853548,0.233697
GemmTunableOp_Half_TN,tn_27392_503_4096,Gemm_Rocblas_1140853649,1.67189
GemmTunableOp_Half_TN,tn_4096_390_13696,Gemm_Rocblas_1140853557,0.686228
GemmTunableOp_Half_TN,tn_4096_390_4096,Gemm_Rocblas_1140853645,0.200545
GemmTunableOp_Half_TN,tn_4096_561_13696,Gemm_Rocblas_1140853545,0.854766
GemmTunableOp_Half_TN,tn_27392_561_4096,Default,1.82528
GemmTunableOp_Half_TN,tn_4096_464_13696,Gemm_Rocblas_1140853557,0.70558
GemmTunableOp_Half_TN,tn_4096_561_4096,Gemm_Rocblas_1140853629,0.285634
GemmTunableOp_Half_TN,tn_4096_434_4096,Gemm_Rocblas_1140853645,0.207905
GemmTunableOp_Half_TN,tn_4096_537_13696,Gemm_Rocblas_1140853545,0.853734
GemmTunableOp_Half_TN,tn_4096_537_4096,Gemm_Rocblas_1140853628,0.285706
GemmTunableOp_Half_TN,tn_4096_412_13696,Gemm_Rocblas_1140853578,0.727533
GemmTunableOp_Half_TN,tn_27392_412_4096,Gemm_Rocblas_1140853649,1.54075
GemmTunableOp_Half_TN,tn_4096_459_13696,Gemm_Rocblas_1140853578,0.738085
GemmTunableOp_Half_TN,tn_27392_459_4096,Default,1.55952
GemmTunableOp_Half_TN,tn_4096_459_4096,Gemm_Rocblas_1140853548,0.233593
GemmTunableOp_Half_TN,tn_4096_379_13696,Gemm_Rocblas_1140853550,0.562004
GemmTunableOp_Half_TN,tn_4096_514_13696,Gemm_Rocblas_1140853545,0.838701
GemmTunableOp_Half_TN,tn_4096_2714_13696,Gemm_Rocblas_1140853576,3.68673
GemmTunableOp_Half_TN,tn_4096_2714_4096,Gemm_Rocblas_1140853627,1.13332
GemmTunableOp_Half_TN,tn_4096_16_13696,Gemm_Hipblaslt_TN_148177,0.184633
GemmTunableOp_Half_TN,tn_4096_16_4096,Gemm_Rocblas_1140853617,0.0345202
GemmTunableOp_Half_TN,tn_4096_32_13696,Gemm_Hipblaslt_TN_148178,0.189089
GemmTunableOp_Half_TN,tn_27392_32_4096,Gemm_Rocblas_1140853614,0.336194
GemmTunableOp_Half_TN,tn_4096_32_4096,Gemm_Rocblas_1140853617,0.0344482
GemmTunableOp_Half_TN,tn_4096_40_13696,Gemm_Rocblas_1140853594,0.197169
GemmTunableOp_Half_TN,tn_4096_40_4096,Gemm_Rocblas_1140853632,0.0460482
GemmTunableOp_Half_TN,tn_4096_48_13696,Gemm_Rocblas_1140853593,0.197889
GemmTunableOp_Half_TN,tn_27392_48_4096,Gemm_Rocblas_1140853648,0.346394
GemmTunableOp_Half_TN,tn_4096_48_4096,Gemm_Rocblas_1140853632,0.0458244
GemmTunableOp_Half_TN,tn_4096_56_13696,Gemm_Rocblas_1140853594,0.199281
GemmTunableOp_Half_TN,tn_4096_80_4096,Gemm_Rocblas_1140853633,0.0608484
